,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T11,-0.004793952000357205,0.067835737748118,0.1903887581412943,-0.14093620813764388,0.17231451165687472,0.11729978951394122,0.2610324292609526,0.26423411716511014,0.19643523491161624,0.3289672904875614,1.0,0.3533831770501918,0.15254336607913171,0.20245114333092035,0.1672525923846447,-0.10785092299012294,-0.010423711060188532,-0.08061662415724592,0.05814257874155837,0.05816440801693911,0.13554303215493843,0.1386781439341775,0.13007046646853906,-0.09947079783541933,-0.04364839831105631,0.24053138688849088,0.20072726846092787,0.15292665572460168,0.2078427070921314,0.18444353644526515,0.24150585669498442,0.12985176047815908,0.2758248368290747,0.3061930911573918,0.35213062316318977,0.16333815693687503,0.19861283055355797,0.21224463150461242,0.38878391446026217,0.3960538581330232,0.2393315399979914,0.31279107037820353,0.31869147864127567,0.48499676835860434,0.2213009099877872,0.06979549990008775,0.30074056897875817,0.26565917769361197,0.30858696183029216,0.14499091565553787,0.2837737485724508,0.23242756244825588,0.2368835065167493,0.25748520973581845,0.39067869188148724,0.31333553834162203,0.25322761285311085,0.32010984355489003,0.1558258317210142,0.3126513106023383
T12,-0.28056617145966867,-0.04183865673607665,0.3875252401085992,0.07266908784960838,0.16045756503192685,0.2199251447705915,0.10487577682812023,0.09899989198769733,-0.12782278045792572,0.44633003950968014,0.3533831770501918,1.0,0.48997597901486206,0.2692058062116816,0.2938941889363822,-0.1331912404270852,0.12578234881361636,-0.16809692801347836,-0.1483849179999492,-0.04439675604186379,-0.1933397053589474,0.13278029947777686,-0.04489370624001506,-0.055954298726847554,0.18700278709658205,0.23393441853741473,0.09208950944730532,-0.07111878929238727,0.12727363445457932,0.08682340096316851,0.16138038841654115,0.11028336491795424,0.17810749150988758,0.2595964705608404,0.38638650433952904,0.12909576796401376,0.09296366507212962,0.07768229886446483,0.18196089882852015,0.1880775668454516,0.1399790815342689,0.2338564107017654,0.4237249549280872,0.33139477967420716,0.17307114828748518,0.08590824163220281,0.24470234121585535,0.12353160464899707,0.2275838737103565,0.126542495482616,0.22487607972290088,0.16798488577978204,0.1762820502689363,0.2296230873086815,0.2947109755265578,0.024067046173323347,0.11166643285278671,0.19097095024248636,0.01115848917816931,0.27794093670404035
T13,-0.11367641536767559,0.09103676432957185,0.1403250432321055,0.000723356726514454,-0.006185136773061564,0.08790528337500725,0.005321194254705572,0.12099963350707273,-0.10302807526342202,0.30152165566767697,0.15254336607913171,0.48997597901486206,1.0,0.05385513662918654,0.08351513775192493,0.005945896094525045,0.03058236320309481,0.007328910308430495,-0.1426282987345134,0.1289239109249802,0.12365782903432788,0.18613666259444223,-0.06775158482484697,0.20405752250492773,0.24476359548480758,0.25715996380369704,0.10928058832814398,0.06625704199026197,0.07356408301545238,0.030591866012246994,0.10965715031812469,0.0662995271840897,0.13861221547378322,0.06929604410049083,0.19112427402153664,0.2812890830765574,-0.07132343686606742,0.20519993843638404,0.06247825022024544,0.20177607534616357,0.14912295540490814,0.11993935358007785,0.2958772209662032,0.2052763633187495,0.0506833226134079,-0.022933773666014956,0.192628994761826,0.1343679932845092,0.12500131652826804,0.1523958129928354,0.2959136657542887,0.3393776774200173,0.3363950186951812,0.15282868431884536,0.3288378177091586,0.14830042535771668,0.22298908533212145,0.2583995760232877,0.12475784230477203,0.20226359058922153
T14,-0.024168508902801974,0.01593836685663105,0.2833337649784995,0.16797721326846293,0.14087501520833354,0.030962348073062165,0.2611841882784186,0.10623539770755093,0.027378727876579478,0.2533792139154197,0.20245114333092035,0.2692058062116816,0.05385513662918654,1.0,0.1211409279572322,-0.17288893722188228,0.003495270327533552,-0.3131195235354679,-0.09199974515698443,0.07791941493793499,0.1207998745181425,0.0884017944865283,0.0029710040298855634,0.0312381881104092,0.0989661528890304,0.002046647616345205,-0.028768261112124723,-0.1303941478388913,-0.1807076171517579,-0.0013051353227913698,0.043226287644143845,0.019639939909613824,0.04114937849533361,0.07336353303554155,0.2869568353335237,0.0989432864294354,-0.003630464538390442,0.11974171048921531,0.18837757846204428,0.19148857737278807,-0.11206654134195478,0.23785154974593406,0.1351441308099547,0.1702362690442702,-0.03749741333156854,0.1643455657453762,0.23088651062680798,0.02667820945524018,0.03324230671083543,-0.1333904192109254,-0.1190906648642728,-0.09179272244070316,0.08749997301391244,0.06956574591199295,0.1428216132605833,0.16152083277812113,0.09946158974863709,0.19083803964673193,0.17152443132428818,0.037705460796882175
T15,-0.032467397147349523,0.06811000647425543,0.20903194004474424,0.2894175596940893,0.2822133207761039,0.22041865671449598,0.012283270222809829,0.04498039935384656,-0.029333416209807416,0.05841184123881246,0.1672525923846447,0.2938941889363822,0.08351513775192493,0.1211409279572322,1.0,-0.04664767839891651,-0.04362135942528317,-0.03146619286082578,-0.08402558821658614,-0.10533834100901074,0.001644571910137682,0.13266577968129242,0.1552469248589539,-0.17933490993433468,0.11140186082908574,0.08477688452329522,0.12551040708559474,-0.08388442959890766,0.1315579461526333,0.12360509698588883,-0.037307790621507644,0.024028759776295306,0.02321674338023081,-0.05201055083819297,0.07959292494275878,0.12527901259863566,0.14399136027749987,0.028019969852861593,0.14049513733841848,0.14854607660866676,0.18866549309979125,-0.005444543908644391,0.2185314423724176,0.2977854195454869,0.3291419727190526,0.1378993658584736,0.16936868658894594,0.10424506158568964,0.15255033155186562,0.008317450694675342,0.28063886859407844,0.016712603641811,0.13688377550213032,0.17764406984673423,0.12901371617291477,0.21790015387318826,0.13793210247696455,0.171932852565096,0.22714316717965838,0.19870265914939284
E01,0.0328287678778291,0.11202236806548131,-0.1557096592334318,0.06974695249339448,0.022452887935112253,0.27586876258107773,0.06852342259904573,-0.06426333351050326,-0.04388168731335622,-0.04499250747411717,-0.10785092299012294,-0.1331912404270852,0.005945896094525045,-0.17288893722188228,-0.04664767839891651,1.0,-0.32767885072110375,-0.1595081409938038,0.10451251733965886,0.3242248528052163,0.23072739292406205,0.21642011903561373,0.018515017677164274,0.327605076299488,0.38093425705244927,0.14385579051324437,0.21778772252686193,0.10967470901000959,0.11956778890995004,0.14522210584639514,-0.041983066950745385,0.07565136645485435,0.10406807469144891,0.1085092884441604,-0.01143511626538458,0.21962556152684246,0.31116656971304346,-0.037373663438290315,0.16678615731561386,-0.030735365763533227,0.2031498562844805,0.10236425774694957,0.09260135963453608,0.0471292535338269,0.12475450686353103,0.0420474331585568,0.024017962598503736,0.1713409413459117,0.015125331997221214,0.16502014771507972,0.034785125306076393,0.2455482712753918,0.09956368163014193,0.04223464168578252,0.01876049956689832,0.021642525742191842,0.13347442582585894,-0.007871113569742877,0.18869570102629224,-0.020236816723704174
E02,0.1792464281248411,-0.043674120358672464,0.10167345964620694,-0.045773894708763155,0.002320711091126451,-0.10484890235460029,0.09656755549824937,0.17742959126461946,0.0169415988766453,-0.08878359885473561,-0.010423711060188532,0.12578234881361636,0.03058236320309481,0.003495270327533552,-0.04362135942528317,-0.32767885072110375,1.0,0.29456005918798456,-0.12210496529949716,-0.09412239457578832,-0.010673143029023375,-0.2316875747827354,0.042740491220335984,-0.2257123403966634,-0.2956393543093913,-0.23016462074804409,-0.05546609750941191,-0.03209132925512515,0.0362098092938486,-0.18296391889817482,0.02609233042873266,0.1003999423606626,-0.19551650424400535,0.055715464310555116,0.01477786092109295,-0.15426931755984513,-0.2157866686407047,0.08460624649035965,-0.1947645822999408,-0.06929707877008036,-0.19917836058143004,-0.06132367487988656,-0.1255823401804401,-0.15433972937519105,-0.13824523997419222,-0.13181204705131938,-0.0746206624352184,-0.10469668921027747,0.05915659582415947,-0.11128532459041733,-0.03567517960587868,-0.07714551617912296,-0.12566220754054092,-0.05043571666616772,-0.0116217118384173,-0.18959130048583503,-0.03974740589352003,-0.11333310491110314,-0.13486898284191143,0.030608891445796104
E03,0.0540628631577266,-0.1636146731999971,-0.034179955803983364,-0.06724771835078815,-0.14154905006642668,-0.2258339693064063,-0.07576349026845085,-0.01224092808933803,-0.01574910228242955,-0.14619950601738269,-0.08061662415724592,-0.16809692801347836,0.007328910308430495,-0.3131195235354679,-0.03146619286082578,-0.1595081409938038,0.29456005918798456,1.0,-0.22116746069240897,-0.252372698045257,-0.0704916019705695,-0.2973771106922319,-0.00930221869296486,0.035333440641174024,-0.4045575292667455,-0.3460686989963359,-0.3048636675891936,0.05313197451029258,-0.05816635723543412,-0.17497019672511088,-0.07227290603325905,0.0005355253938764929,-0.12060447087388945,-0.1708134476281085,-0.2379076648159751,-0.26032967335051266,-0.18950697500283487,-0.1060990851420525,-0.29907804022955153,-0.0760679029873002,-0.20566515501409918,-0.21369113239203041,-0.2159840980445918,-0.2443042711235405,0.06084451453949107,-0.17498247966230032,-0.16211522380485716,-0.10499973439999233,-0.11935388911028258,-0.18995156945568278,-0.0448894856932516,-0.19958308769573876,-0.20343408147591968,-0.12955543386344204,-0.09512542984900119,-0.0855277939718506,0.019020428925718428,-0.19215630724695032,-0.16756320164875518,-0.13446993406185284
E04,0.09635309965912132,0.12913485490019236,-0.33296361123039614,-0.13579102217396752,0.06853360713425802,0.10849737962820283,0.09412286506851496,-0.1468048583212274,0.11274820356795032,-0.0921870352380981,0.05814257874155837,-0.1483849179999492,-0.1426282987345134,-0.09199974515698443,-0.08402558821658614,0.10451251733965886,-0.12210496529949716,-0.22116746069240897,1.0,0.1390238893464537,0.06838091567272557,0.2216460612902501,0.05157688269486807,-0.05689499427764355,0.20295420134692405,-0.11587826056369088,0.14647283810544726,-0.03231806881995959,0.05264297597028851,0.07445982611492674,-0.018635004431523713,-0.07957278342636595,0.16687112138619634,0.06733159463556579,-0.04459494884234287,0.20457532337348633,0.017043517928231777,0.015487126914414343,0.17059600628875132,-0.011192729035104449,0.14603782475464633,0.010688067066853782,0.12867234865541968,0.1599930293382358,0.04517209994835863,0.14552656239915085,0.042093627569071895,0.043976202146465145,-0.041524653583960854,0.19416773672084575,0.11276557990057887,0.17783965431358506,0.12514161515097957,0.2121383756303035,0.11083201308695115,0.20744463943014868,0.06695392253909078,0.17003641784402465,0.163954944778638,0.12939180299729716
E05,0.03301582569798662,-0.18128102774439422,0.03580590288148066,0.02977012272481883,-0.10659060341195664,-0.007772031059040732,0.05055152552097522,0.07861095637408116,0.07729070174258067,0.164844336457981,0.05816440801693911,-0.04439675604186379,0.1289239109249802,0.07791941493793499,-0.10533834100901074,0.3242248528052163,-0.09412239457578832,-0.252372698045257,0.1390238893464537,1.0,0.4307626555182332,0.28916460186118687,0.16036324614229844,0.24069210611374303,0.33457002846974887,0.21805581272837085,0.09323290940087611,0.0823557830905265,0.1386934838433769,0.21836502097094362,-0.005117312298268008,0.08436954265784671,0.032971700336856334,0.009874861500371352,0.185194821525902,0.2960665791829971,0.2521646758365091,0.09097608276351077,0.2246332062468145,0.1500288954779248,0.2230731366352968,0.15835829394428072,0.13257198358122924,0.019487719008419203,-0.028612150929946473,0.20386973405946346,0.17327375748497748,0.03154512523879408,0.024050675160639558,0.09166734816187877,-0.050326606530524176,0.32307251171881435,0.2166783572806392,0.1323685613396602,0.11394514345433038,-0.0002708622197324641,0.2393941725306217,0.20634318003219845,0.133926006564601,0.21513507851277028
